"YEAR","SERIAL","MONTH","HWTFINL","CPSID","STATEFIP","PERNUM","WTFINL","CPSIDP","CPSIDV","RACE","HISPAN","VOTED","VOREG","VOYNOTREG","VOWHYNOT"
2006,3345,11,927.5513,20051003650800,32,1,927.5513,20051003650801,200510036508011,100,0,2,99,99,99
2006,3345,11,927.5513,20051003650800,32,2,1387.0478,20051003650802,200510036508021,100,0,1,1,9,99
2006,3346,11,1155.3812,20051000695600,32,1,1102.5082,20051000695601,200510006956011,100,0,97,2,99,99
2006,3346,11,1155.3812,20051000695600,32,2,1155.3812,20051000695602,200510006956021,651,0,99,99,99,99
2006,3347,11,1367.2482,20051006660400,32,1,1088.583,20051006660401,200510066604011,100,0,2,99,99,99
2006,3347,11,1367.2482,20051006660400,32,2,1367.2482,20051006660402,200510066604021,100,0,2,99,99,99
2006,3348,11,998.8669,20051002381300,32,1,987.5892,20051002381301,200510023813011,802,0,1,1,4,99
2006,3348,11,998.8669,20051002381300,32,2,998.8669,20051002381302,200510023813021,100,0,1,1,4,99
2006,3349,11,1013.3319,20051002381400,32,1,1013.3319,20051002381401,200510023814011,100,0,2,99,99,99
2006,3350,11,930.451,20051002381500,32,1,930.451,20051002381501,200510023815011,100,100,99,99,99,99
2006,3350,11,930.451,20051002381500,32,2,1131.7308,20051002381502,200510023815021,100,100,99,99,99,99
2006,3350,11,930.451,20051002381500,32,3,1061.8957,20051002381503,200510023815031,100,100,99,99,99,99
2006,3350,11,930.451,20051002381500,32,4,1187.0362,20051002381504,200510023815041,100,100,99,99,99,99
2006,3350,11,930.451,20051002381500,32,5,1217.1587,20051002381505,200510023815051,100,100,99,99,99,99
2006,3351,11,994.7301,20051000695900,32,1,1017.4953,20051000695901,200510006959011,100,0,2,99,99,99
2006,3351,11,994.7301,20051000695900,32,2,994.7301,20051000695902,200510006959021,100,0,2,99,99,99
2006,3352,11,1155.3812,20051005325300,32,1,1017.4953,20051005325301,200510053253011,100,0,98,98,99,99
2006,3352,11,1155.3812,20051005325300,32,2,1155.3812,20051005325302,200510053253021,651,0,98,98,99,99
2006,3352,11,1155.3812,20051005325300,32,3,1233.0334,20051005325303,200510053253031,651,0,99,99,99,99
2006,3352,11,1155.3812,20051005325300,32,4,1935.1632,20051005325304,200510053253041,651,0,99,99,99,99
2006,3353,11,1032.23,20051005325400,32,1,1032.23,20051005325401,200510053254011,100,0,1,1,6,99
2006,3353,11,1032.23,20051005325400,32,2,1117.4021,20051005325402,200510053254021,100,0,1,1,6,99
2006,3354,11,1089.0342,20061000644800,32,1,1089.0342,20061000644801,200610006448011,802,100,1,1,4,99
2006,3356,11,1017.4953,20051006349200,32,1,1017.4953,20051006349201,200510063492012,100,0,2,99,99,99
2006,3356,11,1017.4953,20051006349200,32,2,983.8535,20051006349202,200510063492022,100,0,1,1,7,99
2006,3357,11,702.1196,20061100335700,32,1,702.1196,20061100335701,200611003357011,652,0,1,1,3,99
2006,3357,11,702.1196,20061100335700,32,2,1264.3805,20061100335702,200611003357021,652,0,1,1,3,99
2006,3357,11,702.1196,20061100335700,32,3,1066.9695,20061100335703,200611003357031,652,0,1,1,3,99
2006,3358,11,999.1495,20051002382100,32,1,999.1495,20051002382101,200510023821011,100,0,2,99,99,99
2006,3358,11,999.1495,20051002382100,32,2,1070.1259,20051002382102,200510023821021,100,0,2,99,99,99
2006,3363,11,1081.6106,20051103990600,32,1,1081.6106,20051103990601,200511039906011,100,0,2,99,99,99
2006,3364,11,1376.6896,20051104010400,32,1,1376.6896,20051104010401,200511040104011,100,100,1,1,9,99
2006,3364,11,1376.6896,20051104010400,32,2,1210.3783,20051104010402,200511040104021,100,100,99,99,99,99
2006,3364,11,1376.6896,20051104010400,32,3,1719.6898,20051104010404,200511040104041,100,100,99,99,99,99
2006,3364,11,1376.6896,20051104010400,32,4,1686.9701,20051104010403,200511040104031,100,100,99,99,99,99
2006,3366,11,1209.7492,20061100336600,32,1,1209.7492,20061100336601,200611003366011,100,0,1,1,9,99
2006,3366,11,1209.7492,20061100336600,32,2,1302.1582,20061100336602,200611003366021,100,0,1,1,6,99
2006,3366,11,1209.7492,20061100336600,32,3,976.79,20061100336603,200611003366031,100,0,99,99,99,99
2006,3366,11,1209.7492,20061100336600,32,4,1025.3268,20061100336604,200611003366041,100,0,99,99,99,99
2006,3366,11,1209.7492,20061100336600,32,5,1017.242,20061100336605,200611003366051,100,0,99,99,99,99
2006,3367,11,1216.3418,20051103963500,32,1,1216.3418,20051103963501,200511039635011,100,0,1,2,99,8
2006,3368,11,1162.1654,20051103975900,32,1,1162.1654,20051103975901,200511039759011,100,0,2,99,99,99
2006,3369,11,1257.3728,20060904883100,32,1,1172.4428,20060904883101,200609048831011,100,0,2,99,99,99
2006,3369,11,1257.3728,20060904883100,32,2,1257.3728,20060904883102,200609048831021,100,0,2,99,99,99
2006,3370,11,1189.3055,20060900561700,32,1,1189.3055,20060900561701,200609005617011,100,0,2,99,99,99
2006,3370,11,1189.3055,20060900561700,32,2,1218.8463,20060900561702,200609005617021,100,0,2,99,99,99
2006,3370,11,1189.3055,20060900561700,32,3,963.001,20060900561703,200609005617031,100,0,99,99,99,99
2006,3371,11,1146.5145,20060904883200,32,1,1146.5145,20060904883201,200609048832011,100,0,2,99,99,99
2006,3371,11,1146.5145,20060904883200,32,2,1122.3293,20060904883202,200609048832021,100,0,2,99,99,99
2006,3372,11,1189.3055,20060905734900,32,1,1189.3055,20060905734901,200609057349011,100,0,2,99,99,99
2006,3372,11,1189.3055,20060905734900,32,2,1172.4428,20060905734902,200609057349021,100,0,2,99,99,99
2006,3373,11,795.6773,20060804071300,32,1,795.6773,20060804071301,200608040713011,100,0,2,99,99,99
2006,3373,11,795.6773,20060804071300,32,2,705.1611,20060804071302,200608040713021,100,0,1,1,6,99
2006,3374,11,671.7867,20061002298700,32,1,671.7867,20061002298701,200610022987011,100,0,2,99,99,99
2006,3375,11,734.1216,20061002298800,32,1,800.8601,20061002298801,200610022988011,100,0,2,99,99,99
2006,3375,11,734.1216,20061002298800,32,2,734.1216,20061002298802,200610022988021,100,0,2,99,99,99
2006,3376,11,687.7894,20050805272500,32,1,771.0944,20050805272501,200508052725011,100,0,2,99,99,99
2006,3376,11,687.7894,20050805272500,32,2,687.7894,20050805272502,200508052725021,100,0,1,1,3,99
2006,3377,11,699.2014,20050805272600,32,1,699.2014,20050805272601,200508052726011,100,0,2,99,99,99
2006,3379,11,772.6566,20051005327000,32,1,772.6566,20051005327001,200510053270011,100,0,2,99,99,99
